ds,yhat,yhat_lower,yhat_upper,y,Data Type,Sales Value
2014-01-03,1543.9128357117409,-1155.5505067254699,4299.4239574902995,16.448,Actual,16.448
2014-01-04,1116.4759099904531,-1743.1527493971555,3836.4001286147877,288.06,Actual,288.06
2014-01-05,1208.1174037995497,-1620.3675895454671,4047.6986626307385,19.536,Actual,19.536
2014-01-06,1295.3900643014817,-1589.655808563904,3985.5289198948262,4407.1,Actual,4407.1
2014-01-07,649.6236201150344,-2045.2876532556115,3384.7619863718437,87.15799999999999,Actual,87.15799999999999
2014-01-09,961.7973112571455,-1777.9384191526372,3797.41207124466,40.544,Actual,40.544
2014-01-10,1171.160308097471,-1443.6191718933628,3889.5227018729697,54.83,Actual,54.83
2014-01-11,796.4445434891243,-1925.3080581763913,3489.4190444049314,9.94,Actual,9.94
2014-01-13,1089.1661561763874,-1711.4822857604938,3883.480181047885,3553.795,Actual,3553.795
2014-01-14,501.5656156279264,-2424.9897236843904,3298.743928170247,61.96,Actual,61.96
2014-01-15,-159.20778870229043,-3079.232054505439,2572.6752643319396,149.95,Actual,149.95
2014-01-16,928.0132777343941,-1527.6989291087104,3707.5535844928218,299.964,Actual,299.964
2014-01-18,864.9779670490642,-1771.2394376030925,3748.778993711749,64.864,Actual,64.864
2014-01-19,1056.6841736573151,-1816.2490621169386,3955.421431275558,378.594,Actual,378.594
2014-01-20,1239.8079010801648,-1489.3979839630592,4077.467773802532,2673.87,Actual,2673.87
2014-01-21,682.9786152523893,-2062.486597510567,3392.6605190362948,25.248,Actual,25.248
2014-01-23,1148.5921300923958,-1695.8442670412655,3824.728158220143,46.019999999999996,Actual,46.019999999999996
2014-01-26,1273.3538255034268,-1699.7266223327492,3939.6107216646924,1097.25,Actual,1097.25
2014-01-27,1438.736460731307,-1412.807747522145,4167.081538512166,426.67,Actual,426.67
2014-01-28,856.1877191780703,-1827.4544941396111,3557.381525831711,3.928,Actual,3.928
2014-01-30,1251.054267775844,-1459.0061518363088,4006.107673131915,240.5,Actual,240.5
2014-01-31,1477.417984979813,-1232.2289162711427,4093.2249040442543,290.666,Actual,290.666
2014-02-01,1102.2720836792869,-1444.6348218118296,4009.986779771158,468.9,Actual,468.9
2014-02-02,1233.866112926918,-1259.8814662316292,3940.9078687109495,211.64600000000002,Actual,211.64600000000002
2014-02-03,1347.2512179744567,-1319.4396492203055,3977.4831270594595,97.11200000000001,Actual,97.11200000000001
2014-02-04,712.1811068087968,-1975.161437866506,3360.9009262619265,134.38400000000001,Actual,134.38400000000001
2014-02-06,1007.7215182591337,-1923.9816545527367,3648.527432312852,330.512,Actual,330.512
2014-02-07,1189.5898883253653,-1658.6657188853799,3886.259873262979,180.32,Actual,180.32
2014-02-08,774.7712188117122,-1821.065282145095,3729.0606412264856,14.56,Actual,14.56
2014-02-11,307.3266101107835,-2226.8862647901838,3278.416721947538,2043.4,Actual,2043.4
2014-02-12,-423.8417504261928,-3284.6094553835187,2377.735402053195,129.568,Actual,129.568
2014-02-14,785.4973991882539,-1931.3680540031298,3471.913532523083,576.726,Actual,576.726
2014-02-15,389.65002886797487,-2351.63840000772,3047.8240740276733,21.36,Actual,21.36
